number,value,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_completed_rung_0,state
0,0.7768607121165555,2026-04-17 11:29:19.573691,2026-04-17 11:29:39.283638,0 days 00:00:19.709947,0.6232334448672797,10,98,0.006531809029603845,24,393,0.6245760287469893,0.002570603566117598,0.662397808134481,,COMPLETE
1,0.774546874207244,2026-04-17 11:29:39.286349,2026-04-17 11:29:41.141996,0 days 00:00:01.855647,0.6733618039413735,3,129,0.0347400586506752,29,488,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0.774546874207244,COMPLETE
2,0.7767807765741814,2026-04-17 11:29:41.143726,2026-04-17 11:29:50.905866,0 days 00:00:09.762140,0.7824279936868144,5,38,0.008708668905847943,36,345,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,,COMPLETE
3,0.7735639460236083,2026-04-17 11:29:50.906873,2026-04-17 11:29:52.548746,0 days 00:00:01.641873,0.9795542149013333,7,99,0.013152886320011516,25,118,4.905556676028774,0.18861495878553936,0.6260206371941118,0.7735639460236083,PRUNED
4,0.7707030682945686,2026-04-17 11:29:52.549674,2026-04-17 11:29:54.182096,0 days 00:00:01.632422,0.6137554084460873,3,77,0.004601160263509295,21,374,1.527156759251193,2.133142332373004e-06,0.798070764044508,0.7707030682945686,PRUNED
5,0.7772659647687824,2026-04-17 11:29:54.183116,2026-04-17 11:29:58.270185,0 days 00:00:04.087069,0.9100531293444458,5,91,0.027650879647340584,26,308,2.854239907497756,1.1309571585271483,0.9878338511058234,0.7772659647687824,COMPLETE
6,0.7796070139485026,2026-04-17 11:29:58.271191,2026-04-17 11:30:00.640594,0 days 00:00:02.369403,0.7554709158757928,10,45,0.020002529412259395,14,135,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,,COMPLETE
7,0.7739968294619491,2026-04-17 11:30:00.641563,2026-04-17 11:30:10.625185,0 days 00:00:09.983622,0.9947547746402069,5,38,0.005974860857012641,82,317,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,,COMPLETE
8,0.7729740706194841,2026-04-17 11:30:10.626245,2026-04-17 11:30:22.497285,0 days 00:00:11.871040,0.7433862914177091,9,115,0.001028055665573648,80,383,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,,COMPLETE
9,0.7763922343101439,2026-04-17 11:30:22.498377,2026-04-17 11:30:24.912132,0 days 00:00:02.413755,0.8550229885420852,5,60,0.022717137441563427,39,125,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0.7763922343101439,PRUNED
10,0.7775795652668438,2026-04-17 11:30:24.913202,2026-04-17 11:30:29.643001,0 days 00:00:04.729799,0.6234481494906556,10,26,0.02769105578961348,28,156,3.6054118314763236e-07,2.6127754775866454,0.7733658922619813,0.7775795652668438,COMPLETE
11,0.781874377984978,2026-04-17 11:30:29.644015,2026-04-17 11:30:40.915515,0 days 00:00:11.271500,0.7647500007426867,9,65,0.027826977489030905,13,155,5.397588347994572e-05,0.01452769075354368,0.6925969474702127,0.781874377984978,COMPLETE
12,0.7783026749139219,2026-04-17 11:30:40.916581,2026-04-17 11:30:48.716063,0 days 00:00:07.799482,0.8577030327797561,10,61,0.01140020393553263,12,247,0.00010968807537244273,6.504679942838239,0.7108941626595703,0.7783026749139219,COMPLETE
13,0.7745405821933115,2026-04-17 11:30:48.717455,2026-04-17 11:30:53.555443,0 days 00:00:04.837988,0.677858169968746,7,65,0.006854578485666777,11,143,2.6531859178717464e-05,0.035740507272349537,0.6462002785768703,,COMPLETE
14,0.7778664490611763,2026-04-17 11:30:53.556737,2026-04-17 11:30:59.260571,0 days 00:00:05.703834,0.7914081551975478,9,93,0.04874096803722882,17,199,6.551497646970827e-05,3.1489551937653455e-05,0.8545783503528814,,COMPLETE
15,0.7794657021038415,2026-04-17 11:30:59.262133,2026-04-17 11:31:06.969769,0 days 00:00:07.707636,0.85825341682151,9,30,0.028558144582313188,11,207,8.59025317545503e-08,0.0002328837886709361,0.6143893605893774,,COMPLETE
16,0.7796887213674156,2026-04-17 11:31:06.971215,2026-04-17 11:31:08.806039,0 days 00:00:01.834824,0.8376498506317741,8,49,0.03561029391160086,45,115,8.21221323822378e-08,0.15867827713597193,0.7957867642680075,0.7796887213674156,COMPLETE
17,0.777106226947624,2026-04-17 11:31:08.806993,2026-04-17 11:31:14.160361,0 days 00:00:05.353368,0.995642585348258,7,56,0.04009595546528509,62,202,9.662426468309e-06,0.58948598909824,0.7642527183888722,0.777106226947624,PRUNED
18,0.7779749193690333,2026-04-17 11:31:14.161359,2026-04-17 11:31:15.773596,0 days 00:00:01.612237,0.8134264045236204,9,77,0.04481789060924126,81,165,1.1160205613679066e-06,0.22421072575343579,0.8856319618216946,,COMPLETE
19,0.7770325952060343,2026-04-17 11:31:15.774690,2026-04-17 11:31:25.276456,0 days 00:00:09.501766,0.9602101107885147,10,87,0.024100423987807876,39,157,1.5941081255911642e-08,2.0297729973986582,0.8723517425206253,0.7770325952060343,PRUNED
20,0.7747437805425594,2026-04-17 11:31:25.278105,2026-04-17 11:31:27.172152,0 days 00:00:01.894047,0.841945393180094,8,55,0.004899206414754576,60,110,8.380565548540922e-07,1.572535072650732e-05,0.8286874629123151,0.7747437805425594,PRUNED
21,0.7774160012892601,2026-04-17 11:31:27.173146,2026-04-17 11:31:30.662639,0 days 00:00:03.489493,0.7402393971888268,9,60,0.059046907234164364,35,113,0.021692888925996436,0.022991769176575284,0.6662860057997013,,COMPLETE
22,0.7744046665618455,2026-04-17 11:31:30.663656,2026-04-17 11:31:38.085031,0 days 00:00:07.421375,0.7080475185913022,10,56,0.005337413043098403,25,146,2.2518514603684915e-07,0.0003892062779045107,0.7484774135693207,0.7744046665618455,PRUNED
23,0.7773122053100623,2026-04-17 11:31:38.086117,2026-04-17 11:31:40.465501,0 days 00:00:02.379384,0.7927309814320442,7,69,0.041621609453058206,27,209,1.1066947629991661e-07,0.08120851387625906,0.7810080083247298,0.7773122053100623,PRUNED
24,0.7769716807558995,2026-04-17 11:31:40.466685,2026-04-17 11:31:42.463001,0 days 00:00:01.996316,0.8402991441960924,10,120,0.06435664036533824,40,115,2.3639718235419534e-06,0.007162860237859914,0.6345300763600652,,COMPLETE
25,0.7785210763776161,2026-04-17 11:31:42.463962,2026-04-17 11:31:43.367429,0 days 00:00:00.903467,0.7796502828558393,8,26,0.052802327246240614,53,113,7.478726688124826e-06,0.00012531232556190394,0.8691656222016368,0.7785210763776161,COMPLETE
26,0.771594996930752,2026-04-17 11:31:43.368479,2026-04-17 11:31:46.209692,0 days 00:00:02.841213,0.8320776279383549,10,45,0.0024236863257863415,21,107,0.0006278834384981814,0.013961830971384181,0.6470016346709495,0.771594996930752,PRUNED
27,0.7790853995708604,2026-04-17 11:31:46.210747,2026-04-17 11:31:52.041576,0 days 00:00:05.830829,0.7066463858998304,7,21,0.02001921475281481,78,181,1.6405129651500475e-08,0.1421503060819025,0.8151045120600939,0.7790853995708604,COMPLETE
28,0.7751029682535435,2026-04-17 11:31:52.042599,2026-04-17 11:31:54.828333,0 days 00:00:02.785734,0.7411370751699796,9,29,0.01214635002655718,19,129,3.895620084904e-06,2.3215130004407842,0.7162851257401461,0.7751029682535435,PRUNED
29,0.7759547910439901,2026-04-17 11:31:54.829229,2026-04-17 11:31:59.378945,0 days 00:00:04.549716,0.866170918906144,9,93,0.11139946438718859,11,100,0.0018974340017581268,0.3186432538817594,0.7627998793096207,0.7759547910439901,PRUNED
