number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,0.7806953420853739,0.808758567438189,0.4619614054817892,2026-04-17 12:09:10.958224,2026-04-17 12:09:23.754364,0 days 00:00:12.796140,0.6232334448672797,10,98,0.006531809029603845,24,466,0.6245760287469893,0.002570603566117598,0.662397808134481,0,COMPLETE
1,0.7750060606067602,0.8064976454214786,0.455981745719346,2026-04-17 12:09:23.755211,2026-04-17 12:09:32.452663,0 days 00:00:08.697452,0.6733618039413735,3,129,0.0347400586506752,29,585,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0,COMPLETE
2,0.7775054788895416,0.8076176756071052,0.43788571345021987,2026-04-17 12:09:32.453804,2026-04-17 12:09:39.200335,0 days 00:00:06.746531,0.7824279936868144,5,38,0.008708668905847943,36,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,0,COMPLETE
3,0.7736052310356218,0.8031494574302476,0.44851336682211884,2026-04-17 12:09:39.201023,2026-04-17 12:09:44.403116,0 days 00:00:05.202093,0.9795542149013333,7,99,0.013152886320011516,25,123,4.905556676028774,0.18861495878553936,0.6260206371941118,0,COMPLETE
4,0.7720823466896454,0.8032781208990192,0.4474523188494921,2026-04-17 12:09:44.404532,2026-04-17 12:09:52.628688,0 days 00:00:08.224156,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,0,COMPLETE
5,0.7769194948303494,0.8071879871582164,0.4471267645947694,2026-04-17 12:09:52.629515,2026-04-17 12:09:58.909610,0 days 00:00:06.280095,0.9100531293444458,5,91,0.027650879647340584,26,360,2.854239907497756,1.1309571585271483,0.9878338511058234,0,COMPLETE
6,0.781190501956603,0.8090132451060039,0.45272269264204223,2026-04-17 12:09:58.910353,2026-04-17 12:10:07.321064,0 days 00:00:08.410711,0.7554709158757928,10,45,0.020002529412259395,14,144,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,0,COMPLETE
7,0.7761116389215241,0.8064339498433801,0.4456613037079844,2026-04-17 12:10:07.321750,2026-04-17 12:10:13.085161,0 days 00:00:05.763411,0.9947547746402069,5,38,0.005974860857012641,82,371,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,0,COMPLETE
8,0.7732068024894947,0.7826290732157035,0.47093904290214683,2026-04-17 12:10:13.086211,2026-04-17 12:10:23.168534,0 days 00:00:10.082323,0.7433862914177091,9,115,0.001028055665573648,80,454,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,0,COMPLETE
9,0.775911848896832,0.8068851836088735,0.4444210104001234,2026-04-17 12:10:23.169191,2026-04-17 12:10:27.853289,0 days 00:00:04.684098,0.8550229885420852,5,60,0.022717137441563427,39,131,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0,COMPLETE
