number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,0.7806953420853739,0.808758567438189,0.4619614054817892,2026-04-17 20:13:34.485103,2026-04-17 20:13:46.255342,0 days 00:00:11.770239,0.6232334448672797,10,98,0.006531809029603845,24,466,0.6245760287469893,0.002570603566117598,0.662397808134481,0,COMPLETE
1,0.7750060606067602,0.8064976454214786,0.455981745719346,2026-04-17 20:13:46.256107,2026-04-17 20:13:55.296346,0 days 00:00:09.040239,0.6733618039413735,3,129,0.0347400586506752,29,585,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0,COMPLETE
2,0.7775054788895416,0.8076176756071052,0.43788571345021987,2026-04-17 20:13:55.297107,2026-04-17 20:14:02.264107,0 days 00:00:06.967000,0.7824279936868144,5,38,0.008708668905847943,36,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,0,COMPLETE
3,0.7736052310356218,0.8031494574302476,0.44851336682211884,2026-04-17 20:14:02.264813,2026-04-17 20:14:09.236869,0 days 00:00:06.972056,0.9795542149013333,7,99,0.013152886320011516,25,123,4.905556676028774,0.18861495878553936,0.6260206371941118,0,COMPLETE
4,0.7720823466896454,0.8032781208990192,0.4474523188494921,2026-04-17 20:14:09.237683,2026-04-17 20:14:15.546385,0 days 00:00:06.308702,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,0,COMPLETE
5,0.7769194948303494,0.8071879871582164,0.4471267645947694,2026-04-17 20:14:15.547150,2026-04-17 20:14:23.033522,0 days 00:00:07.486372,0.9100531293444458,5,91,0.027650879647340584,26,360,2.854239907497756,1.1309571585271483,0.9878338511058234,0,COMPLETE
6,0.781190501956603,0.8090132451060039,0.45272269264204223,2026-04-17 20:14:23.034388,2026-04-17 20:14:30.235166,0 days 00:00:07.200778,0.7554709158757928,10,45,0.020002529412259395,14,144,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,0,COMPLETE
7,0.7761116389215241,0.8064339498433801,0.4456613037079844,2026-04-17 20:14:30.235944,2026-04-17 20:14:37.027028,0 days 00:00:06.791084,0.9947547746402069,5,38,0.005974860857012641,82,371,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,0,COMPLETE
8,0.7732068024894947,0.7826290732157035,0.47093904290214683,2026-04-17 20:14:37.027911,2026-04-17 20:14:46.860629,0 days 00:00:09.832718,0.7433862914177091,9,115,0.001028055665573648,80,454,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,0,COMPLETE
9,0.775911848896832,0.8068851836088735,0.4444210104001234,2026-04-17 20:14:46.861309,2026-04-17 20:14:51.888069,0 days 00:00:05.026760,0.8550229885420852,5,60,0.022717137441563427,39,131,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0,COMPLETE
10,0.7744181026107126,0.7964498397613414,0.46445998059281113,2026-04-17 20:14:51.888901,2026-04-17 20:15:02.417209,0 days 00:00:10.528308,0.8090931317527976,8,93,0.0018207402509174454,80,481,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,0,COMPLETE
11,0.7674973498586727,0.7879515986796595,0.43394173107188383,2026-04-17 20:15:02.417944,2026-04-17 20:15:08.641125,0 days 00:00:06.223181,0.69971689165955,3,61,0.001717044659935762,56,418,4.9368087974032924e-05,0.06308995924905789,0.9630265895704372,0,COMPLETE
12,0.7659512725965616,0.7892281200681563,0.4386297664136485,2026-04-17 20:15:08.642054,2026-04-17 20:15:15.701210,0 days 00:00:07.059156,0.8533615026041694,3,41,0.003146919894620846,94,245,0.6968596391373533,0.1710207048797339,0.9232481518257668,0,COMPLETE
13,0.7742639123074391,0.7963145962491573,0.464499853525596,2026-04-17 20:15:15.701945,2026-04-17 20:15:23.114258,0 days 00:00:07.412313,0.6440207698110707,10,125,0.0025467919845078256,91,370,1.1256839212661599e-06,6.98184330520185e-05,0.7272013899887455,0,COMPLETE
14,0.7778140615564054,0.8076782609207604,0.4684927756944407,2026-04-17 20:15:23.115019,2026-04-17 20:15:30.645142,0 days 00:00:07.530123,0.6479461469334731,9,86,0.06026633507635092,47,103,1.0927895733904103e-05,3.0632845126552133,0.6888431241882921,0,COMPLETE
15,0.7754797443529025,0.8062321417188647,0.4557860327243122,2026-04-17 20:15:30.646792,2026-04-17 20:15:38.512616,0 days 00:00:07.865824,0.7007129183301457,7,67,0.005050322074279213,98,452,0.00029870091504560114,5.103930927389519e-06,0.9849789179768444,0,COMPLETE
16,0.7721019515918712,0.8025471820196535,0.43596910511084064,2026-04-17 20:15:38.513398,2026-04-17 20:15:46.594726,0 days 00:00:08.081328,0.9633063543866615,3,85,0.004167147855597244,14,405,1.4323759352560882e-06,2.0139739500176936e-07,0.7114585856946446,0,COMPLETE
17,0.7778550595946596,0.8075490912253741,0.4540339965806054,2026-04-17 20:15:46.595477,2026-04-17 20:15:52.682589,0 days 00:00:06.087112,0.8912865394447438,10,108,0.011616996897195595,79,221,2.0419645327312315e-05,0.00490628164601872,0.6950550175969599,0,COMPLETE
18,0.7776221177262483,0.8077021040557489,0.44802965864687516,2026-04-17 20:15:52.683321,2026-04-17 20:15:59.988223,0 days 00:00:07.304902,0.6163100566219055,7,129,0.023912141167670414,39,145,0.0020798714270728416,0.012533698878351464,0.6746074041599417,0,COMPLETE
19,0.7724023909874248,0.7696418798231144,0.462246154054736,2026-04-17 20:15:59.989033,2026-04-17 20:16:06.002040,0 days 00:00:06.013007,0.7546941385202149,7,104,0.0010866673777466193,25,213,2.6950690621944617,1.7285760734977495e-07,0.8763750952409863,0,COMPLETE
20,0.7745237041431687,0.8061637191813593,0.4365398094652111,2026-04-17 20:16:06.002797,2026-04-17 20:16:14.286908,0 days 00:00:08.284111,0.9268888800804863,3,134,0.005523209354840282,33,563,0.0009926755025313784,0.0005845951462609696,0.8639936184136716,0,COMPLETE
21,0.7724393521492093,0.802965290030406,0.44936456072678654,2026-04-17 20:16:14.287750,2026-04-17 20:16:21.359754,0 days 00:00:07.072004,0.7396838298450643,3,137,0.0033596393259423033,67,549,0.03416654859330391,1.1857478328321251,0.7356119164194803,0,COMPLETE
22,0.7726762373209196,0.8002187158694982,0.5423030809540519,2026-04-17 20:16:21.360471,2026-04-17 20:16:30.231852,0 days 00:00:08.871381,0.842571623863836,9,31,0.08518850836015658,24,421,1.2099668294649193e-08,8.189245406796203e-08,0.9594216754108317,0,COMPLETE
23,0.7751731163790545,0.8068097407942512,0.44513157977915285,2026-04-17 20:16:30.232652,2026-04-17 20:16:35.258290,0 days 00:00:05.025638,0.689707723784224,3,91,0.027786919322282833,72,180,0.025681062756497588,1.365343060974712e-06,0.8607845038010402,0,COMPLETE
24,0.7767004061210305,0.8063376032255951,0.44912924669598975,2026-04-17 20:16:35.259417,2026-04-17 20:16:44.877614,0 days 00:00:09.618197,0.637469907131237,8,131,0.005106219018733596,69,425,2.0391173859019014e-05,2.4368079851853013e-06,0.8273234413341887,0,COMPLETE
25,0.7753203909274416,0.7992340735051935,0.46532616064039733,2026-04-17 20:16:44.878760,2026-04-17 20:16:53.012053,0 days 00:00:08.133293,0.8010548372420768,10,136,0.0033958127159684805,67,296,0.0015564492396416625,0.00027080659985063754,0.9179245214166594,0,COMPLETE
26,0.7698090269253359,0.7879190545820141,0.4595747197246226,2026-04-17 20:16:53.012743,2026-04-17 20:17:00.471658,0 days 00:00:07.458915,0.9761834337411657,8,23,0.00265990765382994,68,240,3.8490822633646453,1.7130873652275964,0.6708442717628196,0,COMPLETE
27,0.7747566813721354,0.8064235916293204,0.4352595158388498,2026-04-17 20:17:00.472474,2026-04-17 20:17:07.331726,0 days 00:00:06.859252,0.941203782186944,3,76,0.006389974309230983,97,565,4.467247645704661e-06,2.92334153716481e-05,0.9854479908357011,0,COMPLETE
28,0.7753424164641518,0.8065314909524571,0.4546573633314358,2026-04-17 20:17:07.332420,2026-04-17 20:17:12.583388,0 days 00:00:05.250968,0.828024468035746,5,92,0.07114609552790999,95,184,7.491839140486663e-08,0.0034281912357116743,0.8784119186699892,0,COMPLETE
29,0.7680839547722428,0.8020434490363947,0.502961769493764,2026-04-17 20:17:12.584223,2026-04-17 20:17:20.306701,0 days 00:00:07.722478,0.8809936335948436,4,134,0.14270774024443011,77,359,1.7195719847367482e-05,4.388606059101698e-06,0.8788062963981071,0,COMPLETE
30,0.7701191914358216,0.7992899019304857,0.559066792349052,2026-04-17 20:17:20.307487,2026-04-17 20:17:29.928954,0 days 00:00:09.621467,0.9193180715867101,9,139,0.05770902485860905,56,534,0.007074168123960424,0.020782696494253808,0.8006065178748798,0,COMPLETE
31,0.7747602773241282,0.803335339933786,0.5152193696435265,2026-04-17 20:17:29.929941,2026-04-17 20:17:38.353994,0 days 00:00:08.424053,0.6143769095186968,10,69,0.053915976081982384,18,269,0.0001550180120475692,0.0007652471350809116,0.8313120563984696,0,COMPLETE
32,0.7729089064079032,0.783353063679656,0.4659810982230791,2026-04-17 20:17:38.354705,2026-04-17 20:17:43.296472,0 days 00:00:04.941767,0.6508242050607539,7,24,0.00420281152113476,84,115,0.0005014057851649953,0.08510243330316114,0.7440762565645052,0,COMPLETE
33,0.7702702113165073,0.7798223297094475,0.46407711433736154,2026-04-17 20:17:43.297192,2026-04-17 20:17:50.475788,0 days 00:00:07.178596,0.8549719605992826,7,26,0.0029488063388958506,58,142,0.0342627331241641,6.062736806014784,0.8162540486440426,0,COMPLETE
34,0.7759401729422704,0.8069460088669798,0.4469338712536084,2026-04-17 20:17:50.476538,2026-04-17 20:17:57.279640,0 days 00:00:06.803102,0.610140297366183,5,55,0.013289745828881445,49,498,4.611431184204183,0.33405739074934476,0.6313825525369063,0,COMPLETE
35,0.7784448164086216,0.8078487670390504,0.45333215440530006,2026-04-17 20:17:57.280561,2026-04-17 20:18:04.976783,0 days 00:00:07.696222,0.8858383690800249,6,40,0.032696659634451126,32,186,0.008745333795459427,3.3067782505821335e-06,0.8196906658824482,0,COMPLETE
36,0.7640294952062778,0.7935342201579324,0.573570252235725,2026-04-17 20:18:04.977565,2026-04-17 20:18:12.360245,0 days 00:00:07.382680,0.7423890714605046,8,100,0.11963933511886403,48,377,0.06616297031744844,1.3475391688833286e-08,0.699092395800463,0,COMPLETE
