number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,0.7806953420853739,0.808758567438189,0.4619614054817892,2026-04-17 12:40:35.063795,2026-04-17 12:40:52.360153,0 days 00:00:17.296358,0.6232334448672797,10,98,0.006531809029603845,24,466,0.6245760287469893,0.002570603566117598,0.662397808134481,0,COMPLETE
1,0.7750060606067602,0.8064976454214786,0.455981745719346,2026-04-17 12:40:52.361148,2026-04-17 12:41:01.364439,0 days 00:00:09.003291,0.6733618039413735,3,129,0.0347400586506752,29,585,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0,COMPLETE
2,0.7775054788895416,0.8076176756071052,0.43788571345021987,2026-04-17 12:41:01.367196,2026-04-17 12:41:07.543312,0 days 00:00:06.176116,0.7824279936868144,5,38,0.008708668905847943,36,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,0,COMPLETE
3,0.7736052310356218,0.8031494574302476,0.44851336682211884,2026-04-17 12:41:07.545827,2026-04-17 12:41:15.205848,0 days 00:00:07.660021,0.9795542149013333,7,99,0.013152886320011516,25,123,4.905556676028774,0.18861495878553936,0.6260206371941118,0,COMPLETE
4,0.7720823466896454,0.8032781208990192,0.4474523188494921,2026-04-17 12:41:15.207438,2026-04-17 12:41:20.663778,0 days 00:00:05.456340,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,0,COMPLETE
5,0.7769194948303494,0.8071879871582164,0.4471267645947694,2026-04-17 12:41:20.664562,2026-04-17 12:41:29.826179,0 days 00:00:09.161617,0.9100531293444458,5,91,0.027650879647340584,26,360,2.854239907497756,1.1309571585271483,0.9878338511058234,0,COMPLETE
6,0.781190501956603,0.8090132451060039,0.45272269264204223,2026-04-17 12:41:29.827142,2026-04-17 12:41:35.395686,0 days 00:00:05.568544,0.7554709158757928,10,45,0.020002529412259395,14,144,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,0,COMPLETE
7,0.7761116389215241,0.8064339498433801,0.4456613037079844,2026-04-17 12:41:35.396451,2026-04-17 12:41:43.052957,0 days 00:00:07.656506,0.9947547746402069,5,38,0.005974860857012641,82,371,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,0,COMPLETE
8,0.7732068024894947,0.7826290732157035,0.47093904290214683,2026-04-17 12:41:43.053995,2026-04-17 12:41:52.223349,0 days 00:00:09.169354,0.7433862914177091,9,115,0.001028055665573648,80,454,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,0,COMPLETE
9,0.775911848896832,0.8068851836088735,0.4444210104001234,2026-04-17 12:41:52.224241,2026-04-17 12:41:58.506496,0 days 00:00:06.282255,0.8550229885420852,5,60,0.022717137441563427,39,131,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0,COMPLETE
10,0.7744181026107126,0.7964498397613414,0.46445998059281113,2026-04-17 12:41:58.507744,2026-04-17 12:42:08.710098,0 days 00:00:10.202354,0.8090931317527976,8,93,0.0018207402509174454,80,481,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,0,COMPLETE
11,0.7674973498586727,0.7879515986796595,0.43394173107188383,2026-04-17 12:42:08.710911,2026-04-17 12:42:17.142884,0 days 00:00:08.431973,0.69971689165955,3,61,0.001717044659935762,56,418,4.9368087974032924e-05,0.06308995924905789,0.9630265895704372,0,COMPLETE
12,0.7659512725965616,0.7892281200681563,0.4386297664136485,2026-04-17 12:42:17.143879,2026-04-17 12:42:22.451675,0 days 00:00:05.307796,0.8533615026041694,3,41,0.003146919894620846,94,245,0.6968596391373533,0.1710207048797339,0.9232481518257668,0,COMPLETE
13,0.7742639123074391,0.7963145962491573,0.464499853525596,2026-04-17 12:42:22.452486,2026-04-17 12:42:32.660783,0 days 00:00:10.208297,0.6440207698110707,10,125,0.0025467919845078256,91,370,1.1256839212661599e-06,6.98184330520185e-05,0.7272013899887455,0,COMPLETE
14,0.7778140615564054,0.8076782609207604,0.4684927756944407,2026-04-17 12:42:32.661521,2026-04-17 12:42:38.023837,0 days 00:00:05.362316,0.6479461469334731,9,86,0.06026633507635092,47,103,1.0927895733904103e-05,3.0632845126552133,0.6888431241882921,0,COMPLETE
15,0.7754797443529025,0.8062321417188647,0.4557860327243122,2026-04-17 12:42:38.024593,2026-04-17 12:42:48.414027,0 days 00:00:10.389434,0.7007129183301457,7,67,0.005050322074279213,98,452,0.00029870091504560114,5.103930927389519e-06,0.9849789179768444,0,COMPLETE
16,0.7721019515918712,0.8025471820196535,0.43596910511084064,2026-04-17 12:42:48.415035,2026-04-17 12:42:54.277505,0 days 00:00:05.862470,0.9633063543866615,3,85,0.004167147855597244,14,405,1.4323759352560882e-06,2.0139739500176936e-07,0.7114585856946446,0,COMPLETE
17,0.7778550595946596,0.8075490912253741,0.4540339965806054,2026-04-17 12:42:54.278270,2026-04-17 12:43:01.843066,0 days 00:00:07.564796,0.8912865394447438,10,108,0.011616996897195595,79,221,2.0419645327312315e-05,0.00490628164601872,0.6950550175969599,0,COMPLETE
18,0.7776221177262483,0.8077021040557489,0.44802965864687516,2026-04-17 12:43:01.844272,2026-04-17 12:43:08.320681,0 days 00:00:06.476409,0.6163100566219055,7,129,0.023912141167670414,39,145,0.0020798714270728416,0.012533698878351464,0.6746074041599417,0,COMPLETE
19,0.7724023909874248,0.7696418798231144,0.462246154054736,2026-04-17 12:43:08.321457,2026-04-17 12:43:14.063549,0 days 00:00:05.742092,0.7546941385202149,7,104,0.0010866673777466193,25,213,2.6950690621944617,1.7285760734977495e-07,0.8763750952409863,0,COMPLETE
